기준년월,기간귀속,플랜트,자재유형,자재코드,계정코드,단위,기초수량,기초단가,기초금액,생산입고수량,생산입고단가,생산입고금액,구매입고수량,구매입고단가,구매입고금액,이동입고수량,이동입고단가,이동입고금액,기타입고수량,기타입고단가,기타입고금액,생산출고수량,생산출고단가,생산출고금액,판매출고수량,판매출고단가,판매출고금액,이동출고수량,이동출고단가,이동출고금액,기타출고수량,기타출고단가,기타출고금액,기말수량,기말단가,기말금액,비고
201612,당기,1000,부재료,77113-2L000,1120500,EA,613,1357.851549755302,832363,0,0.0,0,2100,1193,2506938,0,0,0,0,1193.78,0,2670,1230,3286374,0,0.0,0,0,0,0,0,1230.85,0,43,1230.86,52927,0
201612,당기,1000,부재료,69300-3L300,1120500,EA,0,0.0,0,0,0.0,0,20,18392,367843,0,0,0,0,18392.16,0,47,18392,864432,0,0.0,0,0,0,0,0,18392.17,0,-27,18392.0,-496588,0
201612,당기,1000,부재료,71660-1C500,1120500,EA,0,19762.0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,35,19762,691670,0,0.0,0,0,0,0,0,19762.0,0,-35,19762.0,-691670,0
201612,당기,1000,부재료,64110-2C010,1120500,EA,0,0.0,0,0,0.0,0,342,5199,1778366,0,0,0,0,5199.9,0,330,5199,1715967,0,0.0,0,0,0,0,0,5199.9,0,12,5199.92,62399,0
201612,당기,1000,부재료,71630-3D000,1120500,EA,7,5547.571428571428,38833,0,0.0,0,24,6624,158998,0,0,0,0,6624.92,0,20,6381,127633,0,0.0,0,0,0,0,0,6381.65,0,11,6381.64,70198,0
201612,당기,1000,부재료,71202-2D010,1120500,EA,0,0.0,0,0,0.0,0,56,7910,443002,0,0,0,0,7910.75,0,47,7910,371805,0,0.0,0,0,0,0,0,7910.74,0,9,7910.78,71197,0
201612,당기,1000,부재료,64140-2C700,1120500,EA,0,0.0,0,0,0.0,0,283,10377,2936925,0,0,0,0,10377.83,0,276,10377,2864281,0,0.0,0,0,0,0,0,10377.83,-1,7,10377.86,72645,0
201612,당기,1000,부재료,71630-3L000,1120500,EA,0,0.0,0,0,0.0,0,130,7507,976033,0,0,0,0,7507.95,0,120,7507,900953,0,0.0,0,0,0,0,0,7507.94,1,10,7507.9,75079,0
201612,당기,1000,부재료,64140-2C010,1120500,EA,0,0.0,0,0,0.0,0,733,7198,5276318,0,0,0,40,7198.25,287930,759,7198,5463473,0,0.0,0,0,0,0,0,7198.25,0,14,7198.29,100776,0
201612,당기,1000,부재료,69141-3N700,1120500,EA,145,13016.813793103449,1887438,0,0.0,0,17225,11862,204331011,0,0,0,90,11862.47,1067622,17349,11872,205968273,0,0.0,0,0,0,0,102,11872.05,1210950,9,11872.0,106848,0
201612,당기,1000,부재료,64140-2C000,1120500,EA,12,7149.5,85794,0,0.0,0,346,7221,2498560,0,0,0,0,7221.27,0,302,7218,2180096,0,0.0,0,0,0,0,40,7218.86,288754,16,7218.88,115502,0
201612,당기,1000,부재료,71660-26000,1120500,EA,0,0.0,0,0,0.0,0,10,11551,115517,0,0,0,0,11551.7,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,11551.7,115517,0
201612,당기,1000,부재료,71650-26000,1120500,EA,0,0.0,0,0,0.0,0,10,11575,115758,0,0,0,0,11575.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,11575.8,115758,0
201612,당기,1000,부재료,64300-4W000,1120500,EA,2,53086.5,106173,0,0.0,0,78,62417,4868575,0,0,0,0,62417.63,0,78,62184,4850380,0,0.0,0,0,0,0,0,62184.36,-1,2,62184.5,124369,0
201612,당기,1000,부재료,64120-26201,1120500,EA,0,0.0,0,0,0.0,0,519,6569,3409545,0,0,0,0,6569.45,0,285,6569,1872293,0,0.0,0,0,0,0,215,6569.45,1412431,19,6569.47,124820,0
201612,당기,1000,부재료,64200-B1900,1120500,EA,0,0.0,0,0,0.0,0,0,62775,0,0,0,0,8,62775.5,502204,6,62775,376653,0,0.0,0,0,0,0,0,62775.5,0,2,62775.5,125551,0
201612,당기,1000,부재료,69300-2H000,1120500,EA,0,0.0,0,0,0.0,0,2036,10269,20907720,0,0,0,93,10269.02,955018,2065,10269,21205522,0,0.0,0,0,0,0,51,10269.02,523719,13,10269.0,133497,0
201612,당기,3000,제공품,69300-3K002,1120300,EA,0,17761.68181818182,0,5839,16968.2,99077348,0,0,0,0,0,0,877,16968.2,14881115,6434,16975,109223111,0,0.0,0,0,0,0,339,16975.93,5754840,-57,17886.0,-1019488,0
201612,당기,3000,제공품,71660-1C000,1120300,EA,0,0.0,0,10,17261.2,172612,0,0,0,0,0,0,0,17261.2,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,17261.2,172612,0
201612,당기,3000,제공품,69300-3D000,1120300,EA,0,0.0,0,60,10344.35,620661,0,0,0,0,0,0,0,10344.35,0,43,10344,444807,0,0.0,0,0,0,0,0,10344.35,0,17,10344.35,175854,0
201612,당기,3000,제공품,65180-2B210,1120300,EA,0,0.0,0,432,12426.4,5368205,0,0,0,0,0,0,0,12426.4,0,417,12426,5181809,0,0.0,0,0,0,0,0,12426.4,0,15,12426.4,186396,0
201612,당기,3000,제공품,69100-2L010,1120300,EA,0,0.0,0,1860,15989.95,29741314,0,0,0,0,0,0,0,15989.95,0,1816,15989,29037756,0,0.0,0,0,0,0,32,15989.95,511678,12,15989.92,191879,0
201612,당기,3000,제공품,64100-27000,1120300,EA,0,0.0,0,10,20803.8,208038,0,0,0,0,0,0,0,20803.8,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10,20803.8,208038,0
201612,당기,3000,제공품,71754-2E000,1120300,EA,0,0.0,0,64609,2368.73,153041088,0,0,0,0,0,0,0,2368.73,0,64521,2368,152832640,0,0.0,0,0,0,0,0,2368.73,0,88,2368.73,208448,0
201612,당기,3000,제공품,69131-3N000,1120300,EA,114,7521.289473684211,857427,972,6490.98,6309234,0,0,0,0,0,0,9,6490.98,58418,1059,6598,6987543,0,0.0,0,0,0,0,0,6598.25,0,36,6598.25,237537,0
201612,당기,3000,제공품,69141-3N000,1120300,EA,113,7743.858407079646,875056,989,6781.84,6707241,0,0,0,0,0,0,12,6781.84,81382,1078,6879,7416020,0,0.0,0,0,0,0,0,6879.42,0,36,6879.42,247659,0
201612,당기,3000,제공품,64500-4A010,1120300,EA,2,21995.0,43990,118,22103.24,2608182,0,0,0,0,0,0,3,22103.24,66309,106,22101,2342756,0,0.0,0,0,0,0,5,22101.48,110507,12,22101.5,265218,0
201612,당기,3000,제공품,71603-1R401,1120300,EA,0,0.0,0,18584,16274.54,302445978,0,0,0,0,0,0,0,16274.54,0,18567,16274,302169311,0,0.0,0,0,0,0,0,16274.54,0,17,16274.53,276667,0
201612,당기,3000,제공품,71633-2W000,1120300,EA,0,0.0,0,92,3299.89,303590,0,0,0,0,0,0,0,3299.89,0,2,3300,6600,0,0.0,0,0,0,0,0,3300.0,-1,90,3299.9,296991,0
201612,당기,3000,제공품,71643-2W000,1120300,EA,0,0.0,0,92,3299.89,303590,0,0,0,0,0,0,0,3299.89,0,2,3300,6600,0,0.0,0,0,0,0,0,3300.0,-1,90,3299.9,296991,0
201612,당기,3000,제공품,69300-2Q001,1120300,EA,0,0.0,0,96,12045.56,1156374,0,0,0,0,0,0,287,12045.56,3457076,322,12045,3878671,0,0.0,0,0,0,0,36,12045.56,433640,25,12045.56,301139,0
201612,당기,3000,제공품,71641-2W250Y,1120300,EA,0,0.0,0,31,10069.19,312145,0,0,0,0,0,0,0,10069.19,0,1,10069,10069,0,0.0,0,0,0,0,0,10069.0,1,30,10069.17,302075,0
201612,당기,3000,제공품,71641-2W000Y,1120300,EA,0,0.0,0,31,10145.55,314512,0,0,0,0,0,0,0,10145.55,0,1,10146,10146,0,0.0,0,0,0,0,0,10146.0,-1,30,10145.57,304367,0
201612,당기,3000,제공품,71641-2W050Y,1120300,EA,0,0.0,0,30,10462.57,313877,0,0,0,0,0,0,0,10462.57,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,30,10462.57,313877,0
201612,당기,3000,제공품,71650-1C500,1120300,EA,27,21244.14814814815,573592,0,0.0,0,0,0,0,0,0,0,0,0.0,0,12,21244,254930,0,0.0,0,0,0,0,0,21244.17,0,15,21244.13,318662,0
201612,당기,3000,제공품,71575-2H100,1120300,EA,14,5306.0,74284,2039,4751.06,9687402,0,0,0,0,0,0,17,4751.06,80767,1996,4754,9490598,0,0.0,0,0,0,0,0,4754.81,0,74,4754.81,351856,0
