기준년월,기간귀속,플랜트,자재유형,자재코드,계정코드,단위,기초수량,기초단가,기초금액,생산입고수량,생산입고단가,생산입고금액,구매입고수량,구매입고단가,구매입고금액,이동입고수량,이동입고단가,이동입고금액,기타입고수량,기타입고단가,기타입고금액,생산출고수량,생산출고단가,생산출고금액,판매출고수량,판매출고단가,판매출고금액,이동출고수량,이동출고단가,이동출고금액,기타출고수량,기타출고단가,기타출고금액,기말수량,기말단가,기말금액,비고
201512,전기,1000,부재료,77113-2L000,1120500,EA,43,1230.860465116279,52927,2670,1230.85,3286374,0,0,0,0,0,0,0,1230.85,0,0,0,0,2100,1193.78,2506938,0,0,0,0,1193.78,0,613,1357.85,832363,0
201512,전기,1000,부재료,69300-3L300,1120500,EA,3,18392.0,55176,47,18392.17,864432,0,0,0,0,0,0,0,18392.17,0,0,0,0,50,18392.16,919608,0,0,0,0,18392.16,0,0,0.0,0,0
201512,전기,1000,부재료,71660-1C500,1120500,EA,3,19762.0,59286,35,19762.0,691670,0,0,0,0,0,0,0,19762.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,38,19762.0,750956,0
201512,전기,1000,부재료,64110-2C010,1120500,EA,12,5199.916666666667,62399,330,5199.9,1715967,0,0,0,0,0,0,0,5199.9,0,0,0,0,342,5199.9,1778366,0,0,0,0,5199.9,0,0,0.0,0,0
201512,전기,1000,부재료,71630-3D000,1120500,EA,11,6381.636363636364,70198,20,6381.65,127633,0,0,0,0,0,0,0,6381.65,0,0,0,0,24,6624.92,158998,0,0,0,0,6624.92,0,7,0.0,38833,0
201512,전기,1000,부재료,71202-2D010,1120500,EA,9,7910.777777777777,71197,47,7910.74,371805,0,0,0,0,0,0,0,7910.74,0,0,0,0,56,7910.75,443002,0,0,0,0,7910.75,0,0,0.0,0,0
201512,전기,1000,부재료,64140-2C700,1120500,EA,7,10377.714285714286,72644,276,10377.83,2864281,0,0,0,0,0,0,0,10377.83,0,0,0,0,283,10377.83,2936925,0,0,0,0,10377.83,0,0,0.0,0,0
201512,전기,1000,부재료,71630-3L000,1120500,EA,10,7508.0,75080,120,7507.94,900953,0,0,0,0,0,0,0,7507.94,0,0,0,0,130,7507.95,976033,0,0,0,0,7507.95,0,0,0.0,0,0
201512,전기,1000,부재료,64140-2C010,1120500,EA,14,7198.285714285715,100776,759,7198.25,5463473,0,0,0,0,0,0,0,7198.25,0,0,0,0,733,7198.25,5276319,0,0,0,40,7198.25,287930,0,0.0,0,0
201512,전기,1000,부재료,69141-3N700,1120500,EA,9,11872.159999999734,106849,17349,11872.05,205968273,0,0,0,0,0,0,102,11872.05,1210949,0,0,0,17225,11862.47,204331012,0,0,0,90,11862.47,1067622,145,0.0,1887438,0
201512,전기,1000,부재료,64140-2C000,1120500,EA,16,7218.90625,115502,302,7218.86,2180096,0,0,0,0,0,0,40,7218.86,288754,0,0,0,346,7221.27,2498559,0,0,0,0,7221.27,0,12,0.0,85794,0
201512,전기,1000,부재료,71660-26000,1120500,EA,10,11551.7,115517,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,11551.7,115517,0,0,0,0,11551.7,0,0,0.0,0,0
201512,전기,1000,부재료,71650-26000,1120500,EA,10,11575.8,115758,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,10,11575.8,115758,0,0,0,0,11575.8,0,0,0.0,0,0
201512,전기,1000,부재료,64300-4W000,1120500,EA,2,62184.0,124368,78,62184.36,4850380,0,0,0,0,0,0,0,62184.36,0,0,0,0,78,62417.63,4868575,0,0,0,0,62417.63,0,2,0.0,106173,0
201512,전기,1000,부재료,64120-26201,1120500,EA,19,6569.411578947384,124818,285,6569.45,1872294,0,0,0,0,0,0,215,6569.45,1412432,0,0,0,519,6569.45,3409545,0,0,0,0,6569.45,0,0,0.0,0,0
201512,전기,1000,부재료,64200-B1900,1120500,EA,2,62775.5,125551,6,62775.5,376653,0,0,0,0,0,0,0,62775.5,0,0,0,0,0,62775.5,0,0,0,0,8,62775.5,502204,0,0.0,0,0
201512,전기,1000,부재료,69300-2H000,1120500,EA,13,10269.006153846016,133497,2065,10269.02,21205522,0,0,0,0,0,0,51,10269.02,523719,0,0,0,2036,10269.02,20907720,0,0,0,93,10269.02,955019,0,0.0,0,0
